LHD,Hospital name,Age ,Gender,"Overall, how would you rate the care you received while in hospital?",What was the best part of the care you received while in this hospital?,What most needs improving about the care you received from the hospital?
EWRTY, Yambean Hospital,18-49,Man or male,Very good,"PROFESSIONAL DOCTORS, AND I AM HAPPY WITH SERVICE",NOTHING
KHZJDF, Currant Hospital,50+,Woman or female,Good,BECAUSE OF THE COVID SITUATION (Q65 Q66) NOT APPLICABLE.,
OPIUSD, Blueberries Hospital,50+,Woman or female,Very good,THE BEST WAS THE WAY I WAS TREATED BY PROFESSIONAL STAFF,NILL I AM A LIFE THANK YOU
EWRTY, Plantain Hospital,50+,Woman or female,Good,DR'S & PHYSIOTHERAPIST CARE,MORE STAFF
ARTBQW, Currant Hospital,50+,Man or male,Good,NURSING STAFF,SOMETIMES THE LANGUAGE BARRIER IS AN ISSUE
OPIUSD, Watermelon Hospital,50+,Man or male,Very good,"THE CARE AND ATTENTION GIVEN BY THE NURSES. IN FACT, SATISFIED WITH TREATMENT IN THE HOSPITAL",
KHZJDF, Parsnip Hospital,50+,Man or male,Very good,THE CARE NURSING STAFF LOOK AFTER ME,NOTHING
QWRET, Apricot Hospital,18-49,Man or male,Very good,THEY WERE ALL NICE AND CARING,ALL PRETTY GOOD.
KHZJDF, Strawberry Hospital,50+,Woman or female,Very good,"THE DRS & NURSING STAFF (AND PATHOLOGY, SECURITY, RADIOLOGY, CLEANING & FOOD MANAGEMENT) WERE KIND, CARING & COMPASSIONATE. =FABULOUS!!!",(1) SOME OF THE XXXX NURSING STAFF DIDN'T INTRODUCE THEMSELVES WHEN THEY FIRST CAME ON DUTY. THE XXXX NURSES DID. (2) IN THE ROOM NEXT TO ME THERE WAS A VERY DISRUPTIVE MALE/FEMALE PATIENT. SHOUTED. SWORE & VERBALLY ABUSED THE STAFF ABOUT 18 HOURS A DAY. HE'D BEEN THERE APPROXIMATELY XXXX MONTHS WHEN I WAS THERE. STAFF WERE VERY STRESSED BY HIS/HER BEING THERE (HE/SHE SHOULDN'T HAVE BEEN THERE-NEEDED FULL-TIME CARE). I HAD TO REQUEST EAR PLUGS AFTER A WEEK AS HE/SHE WAS DOING MY HEAD IN!!! NOT A GOOD EXPERIENCE IN THAT REGARD-I WAS PLEASED TO BE DISCHARGED SO I CULD GET A NIGHTS SLEEP!!. (HIS NAME WAS XXXX)
KHZJDF, Currant Hospital,50+,Woman or female,Very good,"THE NURSE I HAD XXXX MORNINGS IN A ROW, EFFICIENT, PROGNOSIS, CARING, HAPPY, ENERGETIC, INCLUSIVE, KIND, ON TOP OF HIM/HER GAME.",THE FACILITIES ARE OUTDATED. 2 BEDROOM/CASUALTIES/REQUIRED. BATHROOMS ARE INADEQUATE AND OLD.
RTUITO, Peach Hospital,50+,Woman or female,Good,LEAVING THE HOSPITAL FEELING CONFIDENT.,THE HOSPITAL IS OVERCROWDED AND POORLY EQUIPPED. THE AIR CIRCULATION WAS TERRIBLE AND THE STAFF ARE UNDER RESOURCED AND OVERWORKED. I THOUGHT THE OVERALL STANDARD AND WORKING CONDITIONS WERE VERY POOR AND THE FOOD WAS ALMOST INEDIBLE.
RTUITO, Peach Hospital,18-49,Woman or female,Good,THE NURSES IN THE WARD WERE AMAZING!,THE FOOD
CVBHMI, Bean sprouts Hospital,50+,Woman or female,Good,ALL MOSTLY GOOD.,"HAVING PRIVATE HEALTH, I WAS IN A WARD WITH 2 OTHER PATIENTS. ONE VERY GOOD. ONE CRIED OR MOANED MOST OF THE NIGHT. MAKING HARD TO SLEEP. THE XXXX FOR ME EARPLUGS WHICH HELP A LOT."
QTYEWR, Rutabaga Hospital,50+,Woman or female,Very good,"EVERYONE OF THE NURSES COULD NOT DO ENOUGH FOR YOU, EVERYONE WHO VISITS XXXX HOSPITAL HAVE THE SAME FEELINGS PLUS THE FOOD IS TO DIE FOR.",
MZNBSD, Starfruit Hospital,50+,Woman or female,Very good,"RELAXED ATMOSPHERE, QUIET ROOM & STAFF. SHAME I WASN'T GIVEN THIS QUESTIONARE WHEN LEAVING XXXX HOSPITAL POST SURGERY XXXX (#HIP & FEMUR) BOTH HOSPITALS WERE TERRIBLE ESPECIALLY XXXX NO NIGHT BUZZER - HORRIFIC SITUATION GONE UNRECORDED.",THE ANAESTHETIST-DIDN'T SEEM TO WANT TO BE THERE. DIFFICULTY WITH CANNULA -X2 ATTEMPTS. IVE NEVER HAD PROBLEMS PRIOR. XXXX XXXX XXXX
OIUWEY, Persimmon Hospital,50+,Woman or female,Good,THE DOCTORS AND NURSES WERE GOOD THE CLEANERS AND SERVICE STAFF - VERY POOR.,CLEANING AND FOOD SERVICE NEEDS ATTENTION.
KHZJDF, Chicory Hospital,50+,Man or male,Very good,,ALL GOOD
QTYEWR, Radicchio Hospital,50+,Woman or female,Very good,THE CARE PROVIDED BY THE NURSING STAFF IN E.D,THE PHYSICAL ENVIRONMENT OF ED-LACK OF SPACE AND PRIVACY
LAUJSH, Grapes Hospital,50+,Woman or female,Good,CAN'T REMEMBER?,I DON'T KNOW
CVBHMI, Turnip Hospital,18-49,Man or male,Very good,PROFESSIONALISM,N/A
CVBHMI, Bean sprouts Hospital,50+,Woman or female,Very good,ALL WHO WORKED IN THE HOSPITAL WERE SUPPORTIVE CARING & HELPFUL. DOMESTIC STAFF ALSO VERY PLEASANT. NO COMPLAINTS,
KHZJDF, Currant Hospital,50+,Woman or female,Very good,XXXX HAS DEMENTIA SO THIS SURVEY WAS COMPLETED BY HUSBAND/WIFE AND CARER XXXX. ENTERED THE HOSPITAL THROUGH EMERGENCY WITH CHRONIC ASTHMA AND BRONCHITIS. SPENT HOURS IN TRIAGE BEFORE BEING ATTENDED TO AND ADMITTED. ENTRANCE WAS VERY TRAUMATIC.,"FOR THOSE WHO ARE OBVIOUSLY VERY ILL AND DISTRESSED, A LONG WAIT IN TRIAGE SHOULD BE AVOIDED FOR THE PATIENT AND CARER. WE FELT VERY ALONE AND LET DOWN .FOR A PERSON WITH DEMENTIA THIS IS NOT ACCEPTABLE. ONCE ADMITTED MEDICAL CARE WAS VERY GOOD."
LAUJSH, Grapes Hospital,50+,Man or male,Very good,XXXX XXXX XXXX,
VASRTY, Fig Hospital,50+,Woman or female,Very good,ALL CARE 100 PERCENT ESPECIALLY EMERGENCY DEPT,EVEN THOUGH NURSING STAFF WERE WONDERFUL THEY WERE SEVERLY OVERWORKED (NEED MORE NURSES!!)
QWRET, Orange Hospital,50+,Man or male,Very good,THE CARE OF THE CARDIOLOGIST IN THE FIRST DAY,THE TIME I SPENT IN THE EMERGENCY TO BE SHORT.
KHZJDF, Kumquat Hospital,50+,Woman or female,Good,NURSING STAFF,SEPARATE WARDS FOR FEMALE/MALE PATIENTS
KHZJDF, Lychee Hospital,50+,Woman or female,Good,ALL STAFF WERE CARING & HELPFUL,AS MY STAY WAS VERY SHORT I CANNOT THINK OF ANYTHING TO BE IMPROVED.
MZNBSD, Blackberries Hospital,50+,Woman or female,Very good,THE FRIENDLY ATMOSPHERE,I CANNOT THINK OF ANYTHING
QTYEWR, Radicchio Hospital,50+,Man or male,Very good,"WALK AROUND, SHOWER, FOOD, NURSES UNREAL",NOTHING
ARTBQW, Currant Hospital,50+,Man or male,Very good,POLITENESS OF THE STAFF AND DOCTORS,
KHZJDF, Chicory Hospital,50+,Man or male,Very good,YOU NEVER KNEW YOU WERE IN HOSPITAL ALL THE SERVICES PROVIDED WERE WITHOUT FAULT,THE HOSPITAL WAS FINE. XXXX XXXX HOSPITAL IS A DIFFERENT STORY
KHZJDF, Chicory Hospital,50+,Man or male,Very good,CONTINUAL CHECKING ON MY WELFARE,NOTHING
EWRTY, Yambean Hospital,50+,Woman or female,Very good,QUICK DIAGNOSIS FROM DOCTORS ON A RARE CONDITION WHICH LIMITED INITIAL DAMAGE TO MY BODY.,"ADMINISTRATION PROCESSES, PROVIDE DOCTORS WITH ADMIN SUPPORT."
RTUITO, Fiddleheads Hospital,50+,Man or male,Very good,ALL GOOD.,NOTHING.
ARTBQW, Currant Hospital,50+,Man or male,Very good,THEY FIXED THE PROBLEM. THANKS,IT WAS GOOD
ASRTGE, Pineapple Hospital,50+,Man or male,Very good,RAPIDITY OF ADMISSION TO THE ED AND LATER TO THE ICU FOLLOWED BY DISCUSSIONS ON WHERE TO BE TRANSFERRED BY THE XXXX TO XXXX XXXX HOSPITAL.,LEARNING ABOUT TYPE DIABETES AND DIABETIC KETO ACIDOSIS.
QESRRT, Lotus root Hospital,18-49,Woman or female,Very good,NURSES & DOCTORS & CLEANING STAFF,"AMBULANCE XXXX, GOT TOLD I WASN'T SICK, WHEN I HAD A SEVERE ALLERGIC REACTION TO PFIZER 2ND SHOT. SPENT XXXX DAYS IN HOSPITAL"
VASRTY, Jalapeno Hospital,50+,Man or male,Good,NURSES,
KHZJDF, Kiwi Hospital,50+,Woman or female,Very good,"ALL OF THE NURSES INVOLVED IN MY CARE WERE SO HELPFUL AND KIND, ALWAYS ATTENTIVE TO MY NEEDS.",THERE WAS A MISCOMMUNICATION ABOUT THE NEED FOR NEW BLOOD TESTS AS MY SURGERY HAD BEEN DELAYED FOR A NUMBER XXXX. THIS LED TO ME HAVING TO GO TO PATHOLOGY DURING MY CHECK-IN WHICH MADE A STRESSFUL TIME A BIT WORSE.
BNAVSE, Melon Hospital,50+,Woman or female,Very good,"THE CARE & RESPECT, THAT THE STAFF GAVE ME.","IN THE BATHROOM THERE WAS NO SPACE TO PUT MY CLOTHES ON, WHILE HAVING MY SHOWER. SO I HAD TO PUT THEM & MY TOWEL ON THE FLOOR. THEN I HAD TO BEND DOWN TO PICK THEM UP. AND IT WAS HARD AFTER THE STROKE. THERE SHOULD BE MORE BENCH SPACE. I WOULD HAVE LIKED TO SEE HOSPITAL FOOD, NOT PRE-PACKED FOOD."
OPIUSD, Guava Hospital,50+,Woman or female,Very good,THE DOCTORS WERE VERY GOOD-MADE ME WELL. AFTER SECOND OPERATION DIDN'T NEED TO CALL AMBULANCE AGAIN-HAPPY EVERYTHING WAS SUCCESSFUL - MEDICARE THEY GAVE ME VERY GOOD FOR MY RECOVERY - NURSES MOSTLY COURTEOUS - UNDERSTAND THEY ARE BUSY,THE DOCTOR SHOULD COME MORE OFTEN TO TALK TO THE PATIENT-I REALIZE THAT I AM NOT THE ONLY PATIENT THERE AND THEY ARE BUSY
QTYEWR, Honeydew Melon Hospital,50+,Woman or female,Good,THE NEWNESS OF THE HOSPITAL.,
RTUITO, Serrano Hospital,50+,Man or male,Neither good nor poor,ON THE MORNING BEFORE DISCHARGE AFTER XXXX DAYS IN HOSPITAL A NURSE DECIDED TO DO A PATHOLOGY TEST TO FIND OUT WHAT WAS WRONG WITH ME. I WAS *** INFORMED ABOUT THE RESULT OF THIS TEST. I RANG ANOTHER HOSPITAL *** DAYS *** WHO PROVIDED ME WITH THE INFORMATION,THE FOOD WAS DISGUSTING & NOT SUITABLE FOR PEOPLE WHO ARE ILL. THE MEDICAL PROFESSIONAL DID NOT DISCUSS MY CONDITION WITH ME BUT SPOKE TO HIS/HER PATIENT WHO SPEAK ***. I WAS ASKED TO MOVE TO A PUBLIC WARD. NOBODY CHECKED MY RECORDS I AM A PRIVATE PATIENT. THEN THEY DISCHARGED ME BECAUSE THEY WANTED THE BED.
OPIUSD, Ugli fruit Hospital,50+,Woman or female,Very good,ALL THE STAFF ARE VERY HELPFUL AND UNDERSTANDING. EXPLAIN EVERYTHING TO ME,"I THINK TO IMPROVE THE CARE, MORE STAFFING IS REQUIRED TO ACCOMMODATE ALL THE PATIENT'S NEED AND PROPER CARE GIVEN"
QTYEWR, Quince Hospital,50+,Man or male,Very good,THE WHOLE EXPERIENCE WAS A CREDIT TO ALL THE STAFF,EVERYTHING WORKED WELL 'GOOD JOB'
QWRET, Beetroot Hospital,50+,Man or male,Very good,N/A,N/A
QERYUI, Durian Hospital,50+,Man or male,Very good,"KIND CARING,WELCOMING,GREAT SERVICE",DIFFICULT DURING COVID-19 AS PARTNER HAD NO FEED BACK REGARDING MY SURGERY ON MY RELEASE DISCHARGE NURSE SLIGHTLY DIFFERENT INFORMATION REGARDING POST SURGERY
VASRTY, Passionfruit Hospital,50+,Woman or female,Very good,RESPECT GIVEN AND SWIFT CARE.,ALL GOOD.
QTYEWR, Bell pepper Hospital,50+,Woman or female,Good,PHYSIOTHERAPY AND DISCHARGE,MORE STAFF NEEDED. DOCTORS & NURSES ESPECIALLY NIGHT SHIFTS
OPIUSD, Feijoa Hospital,50+,Man or male,Very good,DUE TO THE HOSPITAL BEING IN COVID-19 PANDEMIC CONDITION I FELT HAPPY TO COOPERATE DURING MY STAY,
RTUITO, Taro Hospital,50+,Man or male,Very good,THE SINGLE BED ROOM I WAS ALLOCATED WAS QUIET AND COMFORTABLE,"I ARRIVED AT ED AT XXXX AND EVENTUALLY GOT A BLANKET AND SOME FOOD AT XXXX BY WHICH TIME GLUTEN FREE FOOD WAS NOT READILY AVAILABLE AND I NEEDED 4 BLANKETS BEFORE I COULD GET WARM. OTHERWISE, EVERYTHING WAS WELL ORGANISED."
ASRTGE, Pineapple Hospital,50+,Man or male,Very good,"PROFESSIONAL, BUT FRIENDLY, CARE KNOWLEDGEABLE STAFF. CLEAN & PRACTICAL FACILITIES",
KHZJDF, Parsnip Hospital,18-49,Man or male,Good,ONCE I WAS SEEN AFTER WAITING FOR OVER XXXX HOURS WITH ABSOLUTELY NO PAIN RELIEF,THE ADMINISTRATION TOOK NO NOTICE TO THE AMOUNT OF PAIN I WAS IN AND WAS LEFT IN THE WAITING ROOM FOR OVER XXXX HOURS WITH NO PAIN RELIEF OR UPDATES ON HOW LONG IT WOULD BE UNTIL I COULD HAVE BEEN SEEN
VASRTY, Passionfruit Hospital,50+,Woman or female,Very good,THE NURSES AND SPECIALISTS CAME TO SEE ME OFTEN AND WERE VERY NICE AND FRIENDLY WITH ME. THEY ALSO SUPPORTED ME INDIVIDUALLY WHEN I BROKE DOWN (WAS IN TEARS) SOMETIMES.,"I WAS HOSPITALISED IN THE MIDDLE OF THE COVID 19 CRISIS. I STAYED XXXX DAYS IN HOSPITAL AND COULD NOT SEE ANY OF MY FAMILY. I WAS TOTALLY ALONE WITHOUT THEM AND NEEDED THEM SO MUCH. PLEASE ORGANISE A ROOM WITH A GLASS PARTITION SO THAT EVERY DAY IN A PANDEMIC, A PATIENT CAN SEE THEIR FAMILY AND TALK BEHIND A GLASS SCREEN. BEING TOTALLY OUT OF FROM THEM WAS SO HARD SO HARD!"
KHZJDF, Endive Hospital,50+,Man or male,Very good,HOSPITAL STAFF AT ALL TIMES TREATED ME WITH DIGNITY CARE,
KHZJDF, Sweet corn Hospital,50+,Man or male,Very good,XXXX HOSPITAL WAS FANTASTIC  ALL THE STAFF WERE EXCELLENT  BETTER THAN PRIVATE,JUST THE NIGHT MEALS NOT THE BEST
RTUITO, Taro Hospital,50+,Woman or female,Very good,"WELL TREATED, PROFESSIONAL CARE. TREATING DOCTOR WAS VERY GOOD, VERY CARING. VISITED EVERYDAY, SUPPORTIVE FOR MY AGE-XXXX. I THINK IT WAS DR. XXXX",
QESRRT, Water chestnut Hospital,50+,Woman or female,Neither good nor poor,HAVING MY OWN ROOM ON LAST DAY IN HOSPITAL,NURSES ATTENDING TO ENQUIRIE
MZNBSD, Gooseberry Hospital,50+,Woman or female,Neither good nor poor,"ADMISSION THROUGH EMERGENCY UNIT - STAFF WERE HELPFUL, KEPT ME INFORMED AND MADE ME FEEL AT EASE.","THE  NURSE ON WARD WERE AWFUL. THE NURSE WAS RUDE, MEDICATIONS WERE NOT ORDERED OR GIVEN IN A REASONABLE  TIMEFRAME, THEY DIDN'T CHECK MY ID WHEN ADMINISTERING IV DRUGS, I WAS TOLD ' THERE ARE OTHER MORE IMPORTANT PATIENTS ON THE WARD AND THEY WILL GET TO ME WHEN THEY CAN'  THE PATHOLOGY RESULTS WERE NOT FOLLOWED UP AND I WAS DISCHARGED WITH INCORRECT ANTIBIOTICS TO TREAT A STAPH  INFECTION. I WAS BACK IN THE EMERGENCY DEPARTMENT XXXX XXXX LATER DUE TO CELLULITIS NOT RESOLVING AND BEING ON STAPH RESISTANT ANTIBIOTICS"
RTUITO, Peach Hospital,50+,Man or male,Good,THE PROFESSIONALISM OF THE DOCTORS & SURGEON,"SOME OF THE NURSING STAFF WERE AROGANT, DID NOT TREAT MY CONDITION AS SERIOUS, HANDLED ME WITH FORCE, NOT ACKNOWLEDGING MY BROKEN SHOULDER & MY LACK OF MOVEMENT (ESPECIALLY NIGHT STAFF)"
QESRRT, Cucumber Hospital,50+,Man or male,Neither good nor poor,NONE,COVID 19 WAS PART OF THE PROBLEM. THE STAFF WAS KEEN TO GET ME INTO A WARD BUT NO WARD AVAILABLE FOR XXXX XXXX AND NOT DEFINITE WHEN IT WOULD BECOME AVAILABLE...WONDERED IF THIS WAS BECAUSE I HAVE PRIVATE HEALTH CARE. I WAS WITH MENTAL AFFECTED PATIENTS FOR AN EXTENDED PERIOD. MY PREVIOUS TIME AT THE HOSPITAL WAS VERY GOOD.
KHZJDF, Parsnip Hospital,50+,Man or male,Very good,THE NURSING STAFF WERE VERY CARING AND HELPFUL.,FOLLOW UP BY THE SPECIALIST AFTER PRESCRIBING MEDICINES TO ENSURE THEY ARE STILL WORTH TAKING AND TO ASCERTAIN IF ANY UNPLEASANT SIDES EFFECTS OCCURRED.
QERYUI, Daikon Hospital,50+,Woman or female,Very good,PAIN RELIEF,THE FOOD COULD BE BETTER
OPIUSD, Guava Hospital,50+,Woman or female,Good,I CAN NO RATE ***. NO *** *** *** ***,
QWRET, Bamboo shoots Hospital,50+,Man or male,Very good,WAS RECEIVED & TREATED WITH DIGNITY & RESPECT.,NIL
MZNBSD, Gooseberry Hospital,50+,Woman or female,Good,"THE ATTENDING DOCTOR IN THE EMERGENCY DEPARTMENT. HE/SHE WAS FIRST CLASS. REALLY LISTENED AND HEARD WHAT I WAS SAYING. THOROUGH AND PROFESSIONAL IN EVERY WAY. HE/SHE WAS VERY INSIGHTFUL WITH GOOD JUDGEMENT. GENUINELY KIND. I AM VERY GRATEFUL TO HIM/HER. THE OTHER GOOD PART WAS THE GENTLEMAN/LADY FROM THE KITCHEN THAT DELIVERED MY FOOD.  HE/SHE WAS GENUINE, DOWN TO EARTH AND VERY HELPFUL. FRIENDLY WHILE KEEPING A PROFESSIONAL BOUNDARY.","1) HAVING WORKED IN OPERATING THEATRE IN XXXX I WAS SHOCKED IN THIS TIME OF COVID THE AMBULANCE ATTENDANT IN A FLURRY STRIPPED OFF HIM/HER PLASTIC PROTECTIVE COVERING IN THE E.D. AND THREW IT INTO AN OPEN BASKET DIRECTLY BESIDE WHERE THE ADMITTING E.D. NURSE AND MYSELF. NEAR THE MEDICAL DESK. THE AMBO SHOULD HAVE REMOVED HIM/HER PROTECTIVE GEAR OUTSIDE BEFORE ENTERING THE E.D. AND THROWN IT INTO A SEALED BIN THAT SHOULD BE PROVIDED OUTSIDE THE E.D. 2) I WAS IN MY E.D. CUBICLE WHEN THE STAFF WERE INFORMED OF A COVID CLOSE CONTACT FROM XXXX OUTBREAK,  WHO WAS IN ISOLATION AND WOULD ARRIVE WITH HIM/HER FEBRILE CHILD WITH A 39C TEMPERATURE.. I OBSERVED STAFF TRYING TO FIGURE OUT WHERE TO PUT THEM WHICH SAID TO ME THEY DIDN'T SEEM TO HAVE A COVID PLAN IN PLACE. I OBSERVED HOW NURSES WERE STRUGGLING TO PUT THEIR PPE ON. THIS ALSO INDICATED THERE WAS NO CO-ORDINATED TRAINING.  WHEN THE GENTLEMAN/LADY & CHILD ARRIVED I WAS HORRIFIED THEY WALKED THROUGH  E.D. PAST MYSELF & OTHER PATIENTS IN OTHER CUBICLES"
OPIUSD, Blueberries Hospital,50+,Man or male,Good,GENERAL,CLEANER BATHROOMS. FOOD
KHZJDF, Yam Hospital,50+,Man or male,Good,ARE YOU OK,
CVBHMI, Dragonfruit Hospital,50+,Man or male,Neither good nor poor,,I AM A DIABETIC & WAS GIVEN FOOD FULL OF SUGAR WHICH PUT MY LEVELS UP OVER 20 I GIVE MYSELF A NEEDLE HALF HOUR BEFORE I EAT. MY FOOD WOULD ARRIVE SOMETIMES 15 TO 20 MINUTES BEFORE THE NURSE CAME WITH MY INSULIN. MY SUGAR LEVEL WAS SO HIGH SO LONG I GOT MY SON/DAUGHTER TO BRING MY INSULIN & I STARTED INJECTING MYSELF & HAD MY LEVEL DOWN BELOW 10 IN NO TIME
KHZJDF, Parsnip Hospital,50+,Man or male,Poor,DON'T TREAT PATIENTS LIKE IDIOTS.,COMUNICATIONS TO PATIENTS.
QESRRT, Cucumber Hospital,50+,Man or male,Very good,THE CARE AND KINDNESS I RECEIVED FROM DOCTORS NURSES OT-PHYSIO-SPEECH THERAPIST,NOTHING
EWRTY, Yambean Hospital,18-49,Man or male,Good,ALL GOOD,NO
OPIUSD, Eggplant Hospital,50+,Woman or female,Very good,HOW LOVELY ALL THE NURSES & DOCTORS WERE TO ME,PARKING
CVBHMI, Carrot Hospital,18-49,Man or male,Good,THE RECOGNITION OF THE SEVERITY OF MY CONDITION IMMEDIATELY WHEN I PRESENTED AT ED,SOME OF THE COMMUNICATION BETWEEN HEALTH PROFESSIONALS AND MYSELF COULD HAVE BEEN BETTER REGARDING THEIR PLAN FOR ADMISSION/TREATMENT. I AM A XXXX XXXXX MYSELF AND I OVERHEARD DISCUSSIONS ABOUT MY CARE BETWEEN DOCTORS AND NURSES THAT WERE NOT PASSED ON TO ME. SOMEONE WHO IS NOT A XXXX XXXX MAY HAVE FELT AS THOUGH THEY WEREN'T GETTING ENOUGH INFORMATION
OIUWEY, Tomato Hospital,50+,Woman or female,Very good,THE KINDNESS AND KEEPING ME INFORMED OF WHAT WAS HAPPENING. NURSING STAFF WAS AMAZING,
KHZJDF, Pomegranate Hospital,50+,Woman or female,Very good,THE RESPECT AND CARE I WAS GIVEN AND UNDERSTANDING ME,RESPECT IN THIS AREA. PLEASE. THE UNDERSTANDING OF A PERSON WHO HAS CRONIC BLADDER PROBLEMS. TEACH THE STAFF IF YOU SELF CATHERTERIE IT TAKES MORE THAN HANDING ME A CATHETER AND YOU NEED TUBES AND A WAYS TO A MIRROR TO INSERT THE CATHETER. MY CONTINENCE HAS BEEN FOR YEARS ON AND OFF DISTRESSING.
ARTBQW, Currant Hospital,50+,Man or male,Very good,COVID-19  PHYSIOTHERAPY,PHYSIOTHERAPY
QWRET, Olive Hospital,50+,Woman or female,Neither good nor poor,,"I SPENT XXXX NIGHTS IN HOSPITAL, WITH A BROKEN LEG, ALL I ASKED FOR WAS A SHOWER, BEFORE I WENT HOME, I ASKED THE NURSE TO GIVE ME A HAND, HE/SHE NEVER CAME BACK. THE FOOD I RECEIVED WAS TASTE LESS DID NOT LIKE MY STAY AT ALL"
ARTBQW, Currant Hospital,50+,Man or male,Good,COMPASSION,
ASRTGE, Pineapple Hospital,50+,Woman or female,Very good,IN & OUT QUICKLY. PLEASANT STAFF. EXPLANATION OF PROCEDURE. EXPLANATION OF EXPECTATION,
LAUJSH, Habanero Hospital,18-49,Woman or female,Very good,THE KNOWLEDGE OF HUNTINGTON'S DISEASE AND SYMPTOMS SHOWN BY ALL STAFF CONCERNED.,BETTER COFFEE
KHZJDF, Kumquat Hospital,50+,Man or male,Very good,THEY HELPED ME THROUGH A MAJOR ORTHOPAEDIC TRAUMA,"MOSTLY THE NOISE AND ""BUSINESS"" DOESN'T HELP WITH RECOVERY, ALSO THE FOOD IS VERY ORDINARY, TOO MUCH PLASTIC PACKAGING."
QERYUI, Daikon Hospital,50+,Woman or female,Good,WHEN ASKING DR. FOR A STRAIGHT ANSWER IT WAS GIVEN,NIGHT STAFF OR RATHER LACK OF THEM
RTUITO, Taro Hospital,18-49,Woman or female,Good,"THE MIDWIFE WHO WAS THERE AT THE TIME I WAS ADMITTED WAS EXTREMELY CARING AND UNDERSTANDING, HE/SHE MADE ARRANGEMENTS TO MAKE ME FEEL AS COMFORTABLE AND AT EASE AS POSSIBLE, AS QUICKLY AS POSSIBLE, AND HELPED TO CALM MY NERVES. THE DOCTORS WERE VERY THOROUGH IN MY CARE AND I DIDN'T FEEL THAT THEY WERE TAKING ANY CHANCES OR NOT TAKING THINGS SERIOUSLY","SOME OF THE MIDWIVES WERE LESS UNDERSTANDING/COMPASSIONATE, WHEN I WAS WAITING TO BE DISCHARGED THE DOCTORS GAVE ME THE ALL CLEAR AND SAID SOMEONE WOULD BE IN SHORTLY WITH MY DISCHARGE PAPERS, AFTER XXXX I HAD TO ASK WHAT WAS HAPPENING AND IT HAD NOT BEEN COMMUNICATED THAT I WAS ABLE TO LEAVE YET, SO NOONE HAD WRITTEN UP MY DISCHARGE PAPERS AND I HAD TO WAIT A WHILE LONGER"
KHZJDF, Kumquat Hospital,50+,Man or male,Very good,ADMITTED TO XXXX. TRANSFER TO XXXX/XXXX XXXX XXXX. REMOVED BLOOD CLOT FROM BRAIN. XXXX DAYS NO RECOLLECTION. TRANSFER BACK TO XXXX,BOTH HOSPITALS-DOCTORS & NURSES SAVED MY LIFE. CANNOT THANK THEM ENOUGH. THANK YOU
QERYUI, Tangerine Hospital,18-49,Woman or female,Good,FOOD,"ON MY FIRST DAY SLEEPING AT THE WARD, THE NURSES DID NOT ORIENTATE ME ENOUGH ON HOW THE BED IS OPERATED, WHICH BUTTONS TO PRESS IF I NEED HELP. THEY ALSO DID NOT PROVIDE ME TOWELS FOR BATHING. THEY WERE STUDENT NURSES, MANY OF THEM THAT NIGHT"
QTYEWR, Honeydew Melon Hospital,50+,Woman or female,Very good,DR XXXX AND THE NURSES,"MY MEDICAL CARE COULD NOT BE FAULTED BUT THE HOSPITAL DESIGN, AS A NEW HOSPITAL, MEANT THAT SMOKE FROM OUTSIDE THE HOSPITAL CAME INTO MY ROOM AND EXACERBATED MY LUNG CONDITION.  I LEFT HOSPITAL SOONER THAN I WOULD NORMALLY BECAUSE OF THIS AND MY STAY WAS REALLY DIFFICULT BECAUSE OF THE SMOKE IN MY ROOM.  I COUGHED NON STOP AND HAD TROUBLE BREATHING, EVEN ON OXYGEN.  THE SMOKE WAS NOTICEABLE TO THE STAFF BUT IT DIDN'T BOTHER THEM, AS THEY DON'T HAVE A LUNG DISEASE!  POSITIVE PRESSURE IS ESSENTIAL IN ALL HOSPITAL DESIGNS TO STOP CIGARETTE SMOKE AND WOOD FIRE SMOKE COMING INTO THE HOSPITAL AND WARDS."
RTUITO, Taro Hospital,50+,Man or male,Poor,SOME PEOPLE GENUINELY CARE AND ARE INTERESTED IN YOUR HEALTH,DIET-NO FOOD WAS AVAILABLE FROM ADMISSION *** *** AM (COULD HAVE COMPLETED A MEAL FROM AT SURGERY WAITING AREA) ARRIVED AT WARD XXXX NO FOOD/MEAL. IT *** TO GET *** *** WHICH WITH *** *** *** BREAKFAST MID MORNING SO NO REAL FOOD TILL LUNCH XXXX HOURS FOR ***. XXXX ADMISSION POST SURGERY ONLY XXXX *** FOR XXXX PATIENTS. THIS IS *** ***
OPIUSD, Watermelon Hospital,50+,Woman or female,Good,THE REQUIRED SURGERY WAS SUCCESSFUL THEREFORE A POSITIVE OUTCOME,THE ROOM I WAS IN WAS VERY CLOSE TO THE NURSES STATION WHICH MEANT I GOT VERY LITTLE SLEEP AS MOST NIGHTS THEY WOULD STAND RIGHT OUTSIDE DR IN OUR ROOM TALKING & LAUGHING LOUDLY. THINK GETTING SLEEP SHOULD BE CONSIDERED AN IMPORTANT PART OF THE RECOVERY/HEALING PROCESS. I FOUND THIS QUITE INCONSIDERATE
ARTBQW, Raspberries Hospital,50+,Man or male,Very good,ALL CARE WAS VERY GOOD,NIL
